Kecamatan;Kelurahan;latitude;longitude;search_query;gmaps_link
Daha Utara;Sungai Garuda;;;;
Daha Utara;Balah Paikat;;;;
Daha Utara;Baruh Kembang;;;;
Daha Utara;Pakan Dalam;;;;
Daha Utara;Paramaian;;;;
Daha Utara;Teluk Haur;;;;
Daha Utara;Pasungkan;;;;
Daha Utara;Pandak Daun;;;;
Daha Utara;Teluk Labak;;;;
Daha Utara;Murung Raya;;;;
Daha Utara;Hamayung;;;;
Daha Utara;Hamayung Utara;;;;
Daha Utara;Paharangan;;;;
Daha Utara;Hakurung;;;;
Hampang;Cantung Kiri Hulu;;;;
Hampang;Lalapin;;;;
Hampang;Hampang;;;;
Hampang;Cantung Kanan;;;;
Hampang;Limbur;;;;
Hampang;Peramasan 2x9;;;;
Hampang;Muara Urie;;;;
Hampang;Hulu Sampanahan;;;;
Hampang;Limbungan;;;;
Martapura;Cindai Alus;;;;
Martapura;Sungai Sipai;;;;
Martapura;Sungai Paring;;;;
Martapura;Jawa;;;;
Martapura;Tanjung Rema Darat;;;;
Martapura;Indrasari;;;;
Martapura;Labuan Tabu;;;;
Martapura;Bincau;;;;
Martapura;Tambak Baru;;;;
Martapura;Bincau Muara;;;;
Martapura;Tunggul Irang;;;;
Martapura;Tunggul Irang Ulu;;;;
Martapura;Tanjung Rema;;;;
Martapura;Jawa Laut;;;;
Martapura;Tunggul Irang Ilir;;;;
Martapura;Murung Keraton;;;;
Martapura;Keraton;;;;
Martapura;Pesayangan Utara;;;;
Martapura;Pesayangan Selatan;;;;
Martapura;Pesayangan Barat;;;;
Martapura;Pasayangan;;;;
Martapura;Murung Kenanga;;;;
Martapura;Tambak Baru Ilir;;;;
Martapura;Tambak Baru Ulu;;;;
Martapura;Tungkaran;;;;
Martapura;Sekumpul;;;;
Martapura Timur;Antasan Senor Ilir;;;;
Martapura Timur;Antasan Senor;;;;
Martapura Timur;Tambak Anyar llir;;;;
Martapura Timur;Tambak Anyar;;;;
Martapura Timur;Tambak Anyar Ulu;;;;
Martapura Timur;Pematang Baru;;;;
Martapura Timur;Melayu;;;;
Martapura Timur;Mekar;;;;
Martapura Timur;Pekauman Ulu;;;;
Martapura Timur;Pekauman;;;;
Martapura Timur;Pekauman Dalam;;;;
Martapura Timur;Keramat Baru;;;;
Martapura Timur;Keramat;;;;
Martapura Timur;Melayu Tengah;;;;
Martapura Timur;Melayu Ilir;;;;
Martapura Timur;Dalam Pagar Ulu;;;;
Martapura Timur;Akar Baru;;;;
Martapura Timur;Akar Bagantung;;;;
Martapura Timur;Dalam Pagar;;;;
Martapura Timur;Sungai Kitano;;;;
Padang Batung;Malutu;;;;
Padang Batung;Malilingin;;;;
Padang Batung;Batu Laki;;;;
Padang Batung;Jelatang;;;;
Padang Batung;Batu Bini;;;;
Padang Batung;Durian Rabung;;;;
Padang Batung;Pahampangan;;;;
Padang Batung;Jambu Hulu;;;;
Padang Batung;Padang Batung;;;;
Padang Batung;Mawangi;;;;
Padang Batung;Jembatan Merah;;;;
Padang Batung;Kaliring;;;;
Padang Batung;Madang;;;;
Padang Batung;Karang Jawa;;;;
Padang Batung;Karang Jawa Muka;;;;
Padang Batung;Tabihi;;;;
Padang Batung;Pandulangan;;;;
Telaga Langsat;Ambutun;;;;
Telaga Langsat;Lok Binuang;;;;
Telaga Langsat;Telaga Langsat;;;;
Telaga Langsat;Mandala;;;;
Telaga Langsat;Pakuan Timur;;;;
Telaga Langsat;Pandulangan;;;;
Telaga Langsat;Longawang;;;;
Telaga Langsat;Gumbil;;;;
Telaga Langsat;Hamak;;;;
Telaga Langsat;Hamak Timur;;;;
Telaga Langsat;Hamak Utara;;;;
Angkinang;Telaga Sili-Sili;;;;
Angkinang;Taniran Selatan;;;;
Angkinang;Taniran Kubah;;;;
Angkinang;Bakarung;;;;
Angkinang;Angkinang Selatan;;;;
Angkinang;Tawia;;;;
Angkinang;Kayu Abang;;;;
Angkinang;Angkinang;;;;
Angkinang;Bamban Selatan;;;;
Angkinang;Bamban;;;;
Angkinang;Bamban Utara;;;;
Batulicin;Segumbang;;;;
Batulicin;Gunung Tinggi;;;;
Batulicin;Kersik Putih;;;;
Batulicin;Batulicin;;;;
Batulicin;Maju Makmur;;;;
Batulicin;Danau Indah;;;;
Batulicin;Polewali Marajae;;;;
Batulicin;Maju Bersama;;;;
Batulicin;Sukamaju;;;;
Loksado;Halunuk;;;;
Loksado;Panggungan;;;;
Loksado;Lumpangi;;;;
Loksado;Malinau;;;;
Loksado;Hulu Banyu;;;;
Loksado;Tumingki;;;;
Loksado;Kamawakan;;;;
Loksado;Lok Lahung;;;;
Loksado;Loksado;;;;
Loksado;Ulang;;;;
Loksado;Haratai;;;;
Pulau Laut Sigam;Baharu Selatan;;;;
Pulau Laut Sigam;Sebatung;;;;
Pulau Laut Sigam;Kotabaru Tengah;;;;
Pulau Laut Sigam;Kotabaru Hilir;;;;
Pulau Laut Sigam;Hilir Muara;;;;
Pulau Laut Sigam;Batuah;;;;
Pulau Laut Sigam;Baharu Utara;;;;
Pulau Laut Sigam;Tirawan;;;;
Pulau Laut Sigam;Gedambaan;;;;
Pulau Laut Sigam;Sarang Tiung;;;;
Pulau Laut Sigam;Sigam;;;;
Simpur;Wasah Hulu;;;;
Simpur;Wasah Tengah;;;;
Simpur;Wasah Hilir;;;;
Simpur;Simpur;;;;
Simpur;Tebing Tinggi;;;;
Simpur;Garunggang;;;;
Simpur;Amparaya;;;;
Simpur;Panjampang Bahagia;;;;
Simpur;Ulin;;;;
Simpur;Pantai Ulin;;;;
Simpur;Kapuh;;;;
Tabunganen;Kuala Lupak;;;;
Tabunganen;Sungai Telan Besar;;;;
Tabunganen;Sungai Telan Kecil;;;;
Tabunganen;Sungai Telan Muara;;;;
Tabunganen;Tabunganen Muara;;;;
Tabunganen;Tabunganen Kecil;;;;
Tabunganen;Tabunganen Tengah;;;;
Tabunganen;Karya Baru;;;;
Tabunganen;Tabunganen Pemurus;;;;
Tabunganen;Tanggul Rejo;;;;
Tabunganen;Beringin Kencana;;;;
Tabunganen;Sungai Teras Dalam;;;;
Tabunganen;Sungai Teras Luar;;;;
Tabunganen;Sungai Jingah Besar;;;;
Anjir Pasar;Pandan Sari;;;;
Anjir Pasar;Andaman;;;;
Anjir Pasar;Andaman II;;;;
Anjir Pasar;Anjir Seberang Pasar II;;;;
Anjir Pasar;Anjir Seberang Pasar;;;;
