Kecamatan;Kelurahan;latitude;longitude;street_name;search_query;gmaps_link;location_name_maps;location_name_structured
Paringin;Dahai;-3.32;115.44;PFJJ+G4M, Dahai, Kec. Paringin, Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Dahai Paringin, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Desa Dahai;Gedung_Kelurahan_Dahai
Paringin Selatan;Murung Jambu;-2.3335869;115.3828453;MC89+HH6, Murung Jambu, Kec. Lampihong, Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Murung Jambu Paringin Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-2.3335869,115.3828453;Kantor Desa Murung Jambu;Gedung_Kelurahan_Murung_Jambu
Paringin Selatan;Halubau;-2.3567702;115.3978697;JCVM+7HV, Jl. Ambuyang Desa, Halubau, Kec. Paringin Sel., Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Halubau Paringin Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-2.3567702,115.3978697;KANTOR KEPALA DESA HALUBAU;Gedung_Kelurahan_Halubau
Paringin Selatan;Panggung;-2.3744899;115.4649487;JGG2+695, Jl. Temenggung Jalil, Batu Piring, Kec. Paringin Sel., Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Panggung Paringin Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-2.3744899,115.4649487;Kantor Desa Panggung;Gedung_Kelurahan_Panggung
Paringin Selatan;Inan;-3.32;115.44;JGF5+786, Panggung, Kec. Paringin Sel., Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Inan Paringin Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Desa Inan;Gedung_Kelurahan_Inan
Paringin Selatan;Murung Abuin;-2.3772283;115.4901465;JGFG+4F4, Murung Abuin, Kec. Paringin Sel., Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Murung Abuin Paringin Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-2.3772283,115.4901465;Kantor Kepala Desa Murung Abuin;Gedung_Kelurahan_Murung_Abuin
Paringin Selatan;Baruh Bahinu Dalam;-2.358926;115.4480211;JFRM+8HP, Batu Piring, Kec. Paringin Sel., Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Baruh Bahinu Dalam Paringin Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-2.358926,115.4480211;Kantor Kepala Desa Baruh Bahinu Luar;Gedung_Kelurahan_Baruh_Bahinu_Dalam
Paringin Selatan;Binjai;-2.3753702;115.4969553;JGFM+V62, Binjai, Kec. Paringin Sel., Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Binjai Paringin Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-2.3753702,115.4969553;Kantor kepala Desa Binjai;Gedung_Kelurahan_Binjai
Paringin Selatan;Telaga Purun;-3.32;115.44;JGFP+4V6, Jl. Haji Husin, Desa Telaga Purun, Paringin Selatan, Kab. Balangan, Pudak, Kec. Awayan, Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Telaga Purun Paringin Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Desa Telaga Purun;Gedung_Kelurahan_Telaga_Purun
Paringin Selatan;Galumbang;-2.3691498;115.4662298;JGJ2+8WR, Jl. Temenggung Jalil, Galombang, Kec. Paringin Sel., Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Galumbang Paringin Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-2.3691498,115.4662298;Kantor Pemerintahan Desa Galumbang;Gedung_Kelurahan_Galumbang
Paringin Selatan;Maradap;-2.376577;115.4710638;Jl. Temanggung, Jl. Temenggung Jalil Desa, Maradap, Kec. Paringin Sel., Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Maradap Paringin Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-2.376577,115.4710638;Kantor Kepala Desa Maradap;Gedung_Kelurahan_Maradap
Paringin Selatan;Baruh Bahinu Luar;-3.32;115.44;JFRM+8HP, Batu Piring, Kec. Paringin Sel., Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Baruh Bahinu Luar Paringin Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Kepala Desa Baruh Bahinu Luar;Gedung_Kelurahan_Baruh_Bahinu_Luar
Paringin Selatan;Bungin;-2.343677;115.4155975;MF42+GMC, Bungin, Kec. Paringin Sel., Kabupaten Balangan, Kalimantan Selatan 71613;Kantor Kelurahan Bungin Paringin Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-2.343677,115.4155975;Kantor Desa Bungin;Gedung_Kelurahan_Bungin
